source_dataset,target_dataset,age_kl_nats,sex_kl_nats,demographic_kl_nats,ps_threshold_nats,PS,DS,LS,shift_vector,weight_w_ij,source_age_n,target_age_n,source_sex_n,target_sex_n,source_metadata_basis,target_metadata_basis,ds_reason,ls_reason
CPSC2018,Georgia 12-Lead,0.031473,0.000003,0.031476,0.10,0,0,1,"(0,0,1)",3,6868,10267,6877,10344,record-level PhysioNet Challenge 2020 WFDB headers,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,CPSC custom 9-class vs SNOMED-CT
CPSC2018,CODE-15%,0.059607,0.037174,0.096781,0.10,0,1,1,"(0,1,1)",5,6868,345779,6877,345779,record-level PhysioNet Challenge 2020 WFDB headers,record-level CODE-15% exams.csv metadata,sampling rate differs (500 vs 400 Hz),CPSC custom 9-class vs CODE custom binary labels
Georgia 12-Lead,PTB-XL,0.002572,0.006624,0.009196,0.10,0,0,1,"(0,0,1)",3,10267,21508,10344,21801,record-level PhysioNet Challenge 2020 WFDB headers,record-level PTB-XL v1.0.2 metadata,same sampling rate; undocumented hardware is not treated as different,SNOMED-CT vs SCP-ECG
Georgia 12-Lead,MIMIC-IV-ECG,0.036710,0.001357,0.038068,0.10,0,0,1,"(0,0,1)",3,10267,795545,10344,795545,record-level PhysioNet Challenge 2020 WFDB headers,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,same sampling rate; undocumented hardware is not treated as different,SNOMED-CT vs machine-report text
Georgia 12-Lead,CPSC2018,0.030362,0.000003,0.030365,0.10,0,0,1,"(0,0,1)",3,10267,6868,10344,6877,record-level PhysioNet Challenge 2020 WFDB headers,record-level PhysioNet Challenge 2020 WFDB headers,same sampling rate; undocumented hardware is not treated as different,SNOMED-CT vs CPSC custom 9-class
Georgia 12-Lead,CODE-15%,0.100924,0.036500,0.137424,0.10,1,1,1,"(1,1,1)",6,10267,345779,10344,345779,record-level PhysioNet Challenge 2020 WFDB headers,record-level CODE-15% exams.csv metadata,sampling rate differs (500 vs 400 Hz),SNOMED-CT vs CODE custom binary labels
CODE-15%,PTB-XL,0.086200,0.011831,0.098031,0.10,0,1,1,"(0,1,1)",5,345779,21508,345779,21801,record-level CODE-15% exams.csv metadata,record-level PTB-XL v1.0.2 metadata,sampling rate differs (400 vs 500 Hz),CODE custom binary labels vs SCP-ECG
CODE-15%,MIMIC-IV-ECG,0.165966,0.023463,0.189429,0.10,1,1,1,"(1,1,1)",6,345779,795545,345779,795545,record-level CODE-15% exams.csv metadata,published full-cohort aggregate over 800034 ECGs; not the 50000-record benchmark manifest,sampling rate differs (400 vs 500 Hz),CODE custom binary labels vs machine-report text
CODE-15%,CPSC2018,0.065126,0.036769,0.101894,0.10,1,1,1,"(1,1,1)",6,345779,6868,345779,6877,record-level CODE-15% exams.csv metadata,record-level PhysioNet Challenge 2020 WFDB headers,sampling rate differs (400 vs 500 Hz),CODE custom binary labels vs CPSC custom 9-class
CODE-15%,Georgia 12-Lead,0.117053,0.036098,0.153151,0.10,1,1,1,"(1,1,1)",6,345779,10267,345779,10344,record-level CODE-15% exams.csv metadata,record-level PhysioNet Challenge 2020 WFDB headers,sampling rate differs (400 vs 500 Hz),CODE custom binary labels vs SNOMED-CT
